"Submission","Test","n","Mean","sd","se"
"","Base1",3,NA,NA,NA
"","Base2",3,NA,NA,NA
"","PT1",3,NA,NA,NA
"","PT2",3,NA,NA,NA
"Choke","Base1",32,0,0,0
"Choke","Base2",32,0,0,0
"Choke","PT1",32,0.21875,0.490843579315079,0.0867697058588924
"Choke","PT2",32,0.09375,0.39015092199748,0.0689695906576505
"Non-Choke","Base1",30,0,0,0
"Non-Choke","Base2",30,0,0,0
"Non-Choke","PT1",30,0.1,0.402577899936449,0.0735003323160835
"Non-Choke","PT2",30,0.1,0.305128576629365,0.0557086014531156
