"Submission","n","PT1_mean","PT1_sd","PT1_se","PT2_mean","PT2_sd","PT2_se"
"",3,NA,NA,NA,NA,NA,NA
"Choke",32,0.0781249999999991,6.02327391283447,1.06477445717732,-3.209375,5.22273932418488,0.923258598125193
"Non-Choke",30,-0.323333333333333,4.95056132890649,0.903844704051612,-4.02333333333333,3.942052968847,0.719717111305903
